temp,rh,rain,solrad,windspeed
26.8,84,0,253.7,0.7
27.7,82,0,283.6,1.1
28,79,0,413.4,2
28.5,74,0.2,486,4.7
29.5,75,0.2,741.3,2.6
28,84,0.2,194.5,2.6
28.3,82,0.8,146.8,4
27.6,80,0.8,148.5,5.3
27.4,79,0.8,78.3,5.3
27,80,0.8,61.7,3.1
27,82,0.8,26.7,3.3
26.7,81,0.8,0,0.7
26.7,81,0.8,0,1.5
26.5,79,0.8,0,1.3
25.6,85,0.8,0,1.7
25.8,87,1,0,1
25.1,90,1.2,0,1.1
24.9,93,1.2,0,1
24.8,86,1.2,0,2
24.9,87,1.2,0,1.5
24.7,88,1.2,0,0.9
24.4,86,1.2,0,1.3
24.2,88,1.2,0,1.2
24.4,86,1.2,71.1,1.2
26.4,81,0,180.4,0.6
27.5,74,0,312,0.7
27.4,79,0,431.5,1.1
28.2,75,0,518.4,0.9
29.8,64,0,953.8,1.5
29,72,0,208.3,2.9
25.7,88,2,327,1.4
27.5,78,2,157.1,1.3
27.6,81,2,154.4,1.5
27.7,82,2,120,2
26.6,82,2,13.7,2.6
25.7,88,3.6,0,1.7
25.1,88,3.6,0,2.6
25.7,90,3.8,0.4,4.1
25,93,3.8,0,2.3
24.8,93,3.8,0,1.8
25,92,3.8,0,1
25.2,89,3.8,0,1.3
25.4,86,3.8,0,1.9
25,87,3.8,0,2.2
24.7,91,3.8,0,2
25,91,3.8,0,3
24.8,90,3.8,0,1.9
24.9,90,3.8,73.3,2.2
27,79,0,189.1,4.6
27.4,80,0,291.7,3.8
27.9,76,0,446.8,5.7
28.4,74,0,661.2,4.8
28.8,74,0,481,5
29.2,73,0,1037.6,4.1
29.7,69,0,386.7,4.8
30.1,64,0,356.2,4.1
29.6,70,0,221.7,3.7
30,65,0,131,3.6
29.7,67,0,43.5,3.2
28.9,65,0,0,3.3
27.2,75,0,0,1.4
26.3,81,0,0,0.8
25.7,78,0,0,0.2
25.1,76,0,0,1.1
25.5,77,0,0,2.1
25.6,78,0,0,1.8
25.6,78,0,0,2.7
25.9,84,0,0,2.4
24.8,85,0,0,0.4
24.6,86,0,0,1.7
25,83,0,0,3.4
25,86,0,48.5,1.8
26.7,74,0,98.4,2.6
27.7,68,0,201.9,2.8
28.3,68,0,405.6,3.9
30.2,58,0,408.3,2.3
28.2,73,0,444.6,4.3
28.7,75,0,534.2,4.5
28.8,75,0,378.1,4.6
28.8,74,0,336.5,5
29.3,67,0,243.3,5.1
29.1,68,0,89.7,3.6
28.8,74,0,48.8,1.9
28.1,77,0,0,0.7
27.5,80,0,0,0.9
27.4,78,0,0,0.7
26.8,78,0,0,1.6
26.5,81,0,0,1.3
26.3,80,0,0,0.6
26.1,82,0,0,1.5
26,77,0,0,1.5
25.9,73,0,0,1.9
26.1,73,0,0,2.8
25.4,79,0,0,1.6
25.2,81,0,0,1.8
26.3,71,0,31.5,2.1
27,72,0,168.5,2.5
27.4,77,0,328.9,3.8
28,72,0,702.5,2.9
28.2,71,0,616.4,4.9
27.5,81,0,162.5,3
27.2,72,0,127.5,3.5
26.3,81,0.4,168.5,3
26.1,79,0.8,233.1,2.3
27.1,77,0.8,129.4,1.2
27.5,71,0.8,125.1,1.7
27.5,74,0.8,26.9,0.9
26.5,82,0.8,0,0.5
25.9,88,0.8,0,1.2
25.8,84,0.8,0,0.6
25.6,87,0.8,0,0.9
25.5,85,0.8,0,1.6
25.2,80,0.8,0,1.1
25.3,77,0.8,0,0.7
25.5,77,0.8,0,0.6
25.1,78,0.8,0,1.2
25.3,72,0.8,0,0.3
24.6,74,0.8,0,2
24.5,79,0.8,0,0.7
25.1,75,0.8,56.8,2.3
26.8,73,0,184.8,0.7
28.1,70,0,349,0.5
29.1,67,0.2,497,1
28.9,72,0.2,575.7,2.6
29.4,69,0.2,888.6,1.4
29.8,63,0.2,589.6,1.5
30.1,58,0.2,143.1,1.2
28.4,59,0.2,121,2.8
26.7,73,0.2,363.6,3.1
27.6,66,0.2,69.3,1.7
27.5,63,0.2,61.9,2
26.5,81,0.2,0,2.4
26.6,80,0.2,0,1.3
26.6,79,0.2,0,1.2
26.6,78,0.2,0,0.4
26.1,81,0.2,0,0.8
25.9,81,0.2,0,0.7
25.7,79,0.2,0,1.5
25.4,80,0.2,0,0.8
25.2,80,0.2,0,1.6
24.9,84,0.2,0,0.8
25,83,0.2,0,0.7
24.8,84,0.2,0,0.8
25.2,83,0.2,108.4,0.8
27.8,73,0,228.3,0.9
28.4,76,0,566.4,3.5
28.8,76,0,794.7,2.2
29.3,70,0,772.4,2
29,72,0,391.3,4.6
24.6,96,3.2,88.9,2.4
24.1,95,6.2,155.4,0.7
25.3,88,6.4,76.3,0.6
24.6,93,10.2,37.5,1.2
24.2,95,14.6,57.8,1
24.9,90,15.4,73.5,1.3
25,92,15.6,0,2
24.8,94,15.6,0,2.2
24.7,89,15.6,0,2
23.3,86,15.6,0,2.1
22.9,87,15.6,0,1.1
23.6,83,15.6,0,2.5
24,85,15.6,0,1.4
23.7,89,15.6,0,1
24.1,88,15.6,0,1.6
23.5,90,15.6,0,1.5
23.3,91,15.6,0,0.7
23.8,84,15.6,0,1.8
23.6,83,15.6,77.1,1.8
25,80,0,121.7,1.5
26.7,75,0,246.7,1.6
27.5,75,0,496.1,1.8
28.4,74,0,660.6,0.6
28.7,69,0,954.1,1.7
28.8,62,0,507.8,0.7
29,67,0,970.5,2.9
29.1,71,0,228.7,2.5
29.6,67,0,761.8,2.6
29.6,62,0,390.9,2.6
28.8,74,0,86.3,2.9
28.5,71,0,0,0.7
26.7,82,0,0,1.9
26.9,82,0,0,1
26.8,81,0,0,1.4
26.5,84,0,0,1.2
26.6,82,0,0,1.2
25.6,87,0,0,1.5
25.4,88,0,0,1.1
25.5,87,0,0,0.9
25.2,86,0,0,0.3
25.2,84,0,0,2
25,86,0,0,1.2
25.3,88,0,62,0.5
27.8,79,0,271.3,0.4
28.6,74,0,541.7,1.5
28.9,67,0,801.8,1.9
30,64,0,1086.6,2.5
30,66,0,211.3,1.1
29.8,69,0,1056.1,4.8
28.8,77,0,180.3,4
28.9,76,0,192.6,3.5
25.1,95,4.8,2.9,1.5
23.6,99,85.2,1.6,2
23.7,99,92.6,0.4,2.5
23.2,99,99,0,2.4
23.2,99,102,0,0.6
23.5,95,103,0,2.9
24,92,103.2,0.1,2.3
23.7,93,103.4,0,0.9
24.1,91,103.4,0,1.5
24.1,90,103.4,0.7,0.9
23.4,92,103.4,0.3,2
23.3,91,103.4,0.9,2.7
23.5,89,103.4,0.3,2.2
23.8,89,103.4,0.2,1.2
24,91,103.4,0.1,0.4
24.3,88,103.4,113,1.1
27.1,78,0,377.9,3.5
28,76,0,582.2,4.4
28.2,77,0,782.9,4.8
28.7,77,0,937.7,6.8
29,75,0,801,5.9
27.7,81,0.4,253.7,5
25.9,91,2.8,118.2,3.4
25.7,96,11.4,80,0.7
28.1,80,11.4,164.4,4.4
28.3,80,11.4,63.9,3.9
25.4,97,19.2,16.5,3.3
25.3,98,39.4,0,2.3
26.2,92,39.4,0,1.2
25.5,95,39.4,0,0.8
25.7,92,39.4,0,1.5
26.1,90,39.4,1.2,1.2
25.8,92,39.4,0.4,1.5
25.3,93,39.4,0,1.3
25.2,92,39.4,0.1,1.1
24.8,92,39.4,0.2,1.6
24.6,91,39.4,0.2,2.5
24.5,91,39.4,0,1.3
24.5,91,39.4,0.1,0.9
25.2,89,39.4,53.6,0.4
27.2,84,0,256.2,1
28.1,79,0,505.1,2.4
28.3,80,0.2,658.8,2.6
28.9,77,0.2,854.4,3
28.6,79,0.2,1087.6,3.4
28.3,81,0.2,161.8,2.8
24.1,97,9.8,11.9,3.3
24.3,98,22,27.7,1.6
24.4,96,26.2,16.7,1.3
24.5,94,27.8,18.3,1.2
24.8,91,28,7.8,1.6
24.4,94,28.2,0,1.6
24.7,92,28.4,0,1.1
24.6,92,28.4,0,1.2
24.1,94,28.4,0,0.9
24,93,28.4,0,2.4
24.5,90,28.4,0,1.8
24.6,91,28.4,0,1.6
25.4,85,28.4,0,1.8
25.5,83,28.4,0,2.2
24.9,86,28.4,0,2
24.4,89,28.4,0,1.4
24.6,86,28.4,0,0.9
24.8,85,28.4,49.9,1.5
26.3,82,0,180.7,0.3
28,76,0.2,507.6,0.9
28.3,74,0.2,823,1.5
29.2,64,0.2,648.6,2.2
29.8,64,0.4,1046.4,2.8
29.6,70,0.4,872.1,3.6
29.1,73,0.4,290.2,4.1
28.9,70,0.4,349.1,3.1
28.5,73,0.4,190.9,2.8
28,77,0.4,83,3
26.8,80,0.4,57.2,2
26.8,82,0.4,0,0.8
26.2,86,0.4,0,1.2
26,88,0.4,0,1.4
26.1,86,0.4,0,1.1
25.7,92,0.4,0,0.8
25.8,89,0.4,0,0.8
25.4,88,0.4,0,1.4
25.4,89,0.4,0,1.2
25.2,88,0.4,0,0.9
25.5,82,0.4,0,1.5
25.4,84,0.4,0,1.8
25.4,84,0.4,0,1.2
25.2,85,0.4,47.3,1.6
27.9,72,0,287.6,0.9
27.8,75,0,527.5,2.4
28.5,72,0,508.3,2.2
28.7,73,0,950.9,3.1
29.1,71,0,884.1,1.9
29.7,72,0,888.8,1.9
30.4,67,0,510.4,0.6
30.3,70,0,882,4.4
30.4,71,0,242.7,3.6
27.7,75,0,15.8,5.7
23.7,95,2.8,2.9,5.7
22.9,99,46.2,0,3.2
23.3,94,47.6,0.4,1.3
23.6,96,47.6,0,1.1
24.2,94,47.6,0,1.1
24,89,47.8,0,0.8
24.1,89,47.8,0.5,2.1
23.8,90,47.8,0.8,1.4
23.6,92,47.8,0,1.1
24,89,47.8,0,1.5
23.8,90,47.8,0,0.9
23.8,90,47.8,0,1
24.2,88,47.8,0,2.5
24.8,84,47.8,69.3,1.9
29.3,66,0,301.3,0.6
28,72,0.2,549.6,1.4
28.7,74,0.2,780.8,3.1
28.8,71,0.2,883.6,6.1
29.8,65,0.2,1083.9,4.2
29.7,70,0.2,995.9,4.9
29.6,70,0.2,700.2,4.1
30,72,0.2,552.2,2.6
32.1,61,0.2,558,1.8
29.9,74,0.2,148.7,2
29.6,73,0.2,38.5,2.6
29,78,0.2,0,1.7
28,82,0.2,0,1.6
27.9,81,0.2,0,2.2
27.6,82,0.2,0,1.5
27.2,84,0.2,0,1.5
26.9,86,0.2,0,0.8
26.7,85,0.2,0,0.1
26.3,85,0.2,0,0.4
25.6,89,0.2,0,1.5
26,85,0.2,0,1.3
25,92,0.2,0,0.7
25.2,88,0.2,0,1.5
25,90,0.2,49.8,1.8
26.9,81,0,155.2,0.8
27.5,83,0,344.1,2.4
28.4,77,0,396.9,0.6
29.5,74,0,546.7,2
29.4,72,0,779.6,3.2
30,72,0,642.2,3.7
28.8,71,0,230.6,3.8
28.3,78,0,157.1,4.7
28.7,77,0,19.4,2.5
26.2,86,0.2,42.8,2.7
26.4,85,0.2,8.7,1.7
25,84,0.2,0,1.7
24.4,91,0.4,0,2.1
24.6,93,0.6,0,1
24.7,89,0.6,0,1.4
24.9,90,0.6,0,1.2
24.5,92,0.6,0,0.6
24.8,86,0.6,0,1.5
23.9,90,0.6,0,1.5
24.2,88,0.6,0,2
25.3,85,0.6,0,2.3
24.2,87,0.6,0,0.7
24.9,85,0.6,0,1.3
26.1,78,0.6,80.1,1.3
27.9,74,0,282.6,1.6
27.3,71,0,463.6,4.3
28.3,77,0,541.1,3.6
28.7,74,0,903.1,5.7
29.1,74,0,874.6,4.3
29.8,71,0,833.3,3
29.9,68,0,504.3,3.7
30.3,67,0,276.5,2.8
29.8,74,0,184.1,1.4
29.9,71,0,152.4,1.1
29,78,0,51.7,1.3
28.1,80,0,0,2.3
27.8,84,0,0,1
27.6,84,0,0,1.6
27.1,81,0,0,0.7
26.4,85,0,0,0.3
26.4,85,0,0,0.6
27.3,76,0,0,1.8
26.7,83,0,0,1.9
25.5,85,0,0,1.1
25.1,87,0,0,0.7
25,85,0,0,1.1
25.6,82,0,0,2.1
26.1,78,0,30.6,0.2
26.4,80,0,104.9,1.1
27.5,76,0,375.2,2
28,77,0,609.1,2.6
29.6,66,0,935.2,2
28.8,77,0,632.3,3.2
28.7,77,0,495.7,3.9
31,68,0,983.8,3.6
29.4,74,0,380.1,6.1
29.4,75,0,98.9,3.5
26.2,83,0,27.8,10
25.1,88,2.6,23.3,2.9
25.1,90,2.6,0,1
25.9,87,2.6,0,2.5
25.4,90,2.6,0,2
25,92,3,0,0.7
25.1,91,3.2,0,1.7
25.8,87,3.6,0,2.8
25.6,88,4,0,1.3
25.9,88,4.2,0,2.1
25.3,91,4.2,0,2
25.4,90,4.2,0,1.8
26,87,4.2,0,1.4
25.9,88,4.2,0,2.1
25.5,89,4.2,51.2,1.3
26.8,82,0,397.3,2.4
27.1,83,0,400.1,2.8
27.6,84,0,534.7,1.8
27.8,79,0,625.1,1.1
28.8,75,0.2,765.1,2.1
28.2,81,0.2,393,3
28.6,75,0.2,244.2,2.4
26.7,88,1,125.3,1.2
22.8,98,13.8,22,1.1
23.7,98,18,15.3,3.4
23.8,96,18,20.5,1.9
24.3,94,18,0,2.3
24.7,93,18,0,3.7
24.4,94,18,0,0.9
24.5,90,18,0,1.8
25,87,18,0,1.3
24.2,91,18,0.1,1.4
25.3,85,18,1.5,2.3
25.7,84,18,0,4.1
25.3,82,18,0,2
24,89,18,0,1.5
23.9,89,18,0,1.4
23.7,92,18,0,1.5
24.6,88,18,52.4,1.5
26.2,84,0,357.5,0.5
27.2,82,0,417.7,0.9
27.9,77,0.2,497.5,1.1
28.3,78,0.2,747.8,1.5
28.6,71,0.2,625.1,2.7
27.8,79,0.2,459.4,2.3
26.5,81,0.2,224.7,2.8
25.6,88,0.6,110.3,1.8
25.5,96,2.6,40.8,1.8
25.7,92,3.2,66.7,1.4
24.3,97,10.8,3,5.8
24,99,32.4,0,2
24.5,93,33.2,0.2,2
24.2,96,33.2,0,0.7
24.4,94,33.8,0,2.3
24.1,95,33.8,0,1.3
23.8,95,33.8,0,1.1
23.8,96,34,0,0.9
24,93,34,0,1.8
23.9,94,34,0,1.2
24.2,93,34,0,2.2
24.3,91,34,0,1.1
24.2,91,34,0.7,1.8
24.3,90,34,46.6,1.5
25.6,89,0,166.8,0.4
26.6,83,0,390.2,0.9
27.7,75,0,934.5,3.2
27.7,76,0.2,535.3,3.7
28,75,0.2,440.6,3.8
28.2,76,0.2,267.1,3.7
28.8,73,0.2,432.2,5.6
29.5,68,0.2,391.6,6.5
29.1,66,0.2,145.5,4.1
28.7,71,0.2,45.1,2.2
28,74,0.2,12.6,4.4
26,87,0.4,0,0.8
25.6,86,0.4,0,1
25.5,84,0.4,0,2.5
25.5,87,0.4,0,1.6
25.3,87,0.4,0,1.1
25,89,0.4,0,2.1
24.9,89,0.4,0,0.8
24.7,90,0.4,0,0.7
24.7,89,0.4,0,0.7
25.1,82,0.4,0,2
24.9,82,0.4,0,1.7
24.5,85,0.4,0,1.5
24.8,82,0.4,40.4,2.5
26.3,77,0,242.2,2
27.5,73,0,234.4,1.4
28.5,71,0.2,742.8,1.8
28.7,69,0.2,936.1,2.2
29.2,67,0.2,966.8,2.3
29.6,61,0.2,1083.5,2.5
30.1,61,0.2,460.4,1.5
29.7,66,0.2,378.8,3.8
29.6,69,0.2,276.9,4.1
29.4,71,0.2,174.8,3.5
28,80,0.2,47.2,2.3
28.3,76,0.4,0,2.6
28.2,73,0.4,0,1.6
26.5,84,0.4,0,1.5
26.4,79,0.4,0,2
25.9,79,0.4,0,1
25.1,83,0.4,0,0.7
25.6,78,0.4,0,1.1
25.3,82,0.4,0,0.9
24.9,84,0.4,0,1.1
25.1,84,0.4,0,0.6
25.2,83,0.4,0,1.8
24.9,86,0.4,0,0.8
25,83,0.4,57.9,0.9
27.8,72,0,265.1,0.4
28,74,0,448.3,1
28.2,73,0.2,774.9,3.4
28.6,73,0.2,926.1,3.7
28.8,70,0.2,362.9,3.1
29,75,0.2,261.4,1
29.4,74,0.2,321.6,2.8
29.1,75,2.4,205.9,3.9
26,90,6,73.8,1.8
26.9,84,6,60.5,3.2
27.7,78,6,63.1,0.2
26.7,88,6,0,0.7
26.8,85,6,0,0.6
27.5,79,6,0,2.7
26.3,85,6,0,1.4
27.2,80,6,0,2.6
26.1,84,6,0,2.2
26.3,80,6,0,1.1
24.9,85,6,0,0.9
24.4,87,6,0,1.5
24.5,85,6,0,1.9
24.5,85,6,0,1.4
24.3,87,6,0,1.4
24.6,87,6,41.9,0.9
26.1,83,0,173.6,1.9
27,77,0,382.3,1.6
28.5,72,0,781.9,1.9
29.2,71,0,929.1,2.7
29.4,74,0,542.7,3.6
29.1,76,0,1191.2,5
28.8,78,0,339.5,5.3
29.2,73,0,874.2,3.6
29.9,76,0,658.6,4.5
29.7,74,0,288.9,4.3
29.6,73,0,145,5
29.4,73,0,0,1.8
29,74,0,0,3.5
28.5,77,0,0,2.5
26.9,79,0,0,0.6
26.2,82,0,0,1
25.8,85,0,0,1.7
26.2,83,0,0,0.8
26,85,0,0,1
25.2,87,0,0,0.7
25,86,0,0,2.1
25.4,85,0,0,1.1
24.8,88,0,0,0.8
24.9,86,0,82.1,1.4
27.1,81,0,313.2,0.9
29.1,74,0,523.4,0.6
29.1,76,0,762.2,3.2
29,72,0,953.7,3.8
29.2,73,0,775.2,3.7
28.7,80,0,1046.1,5.9
28.8,81,0,1019.7,4.1
29.2,82,0,785.8,3.1
30.2,74,0,621.9,2.8
29.9,76,0,366.9,3.5
30.1,71,0,55.2,1.6
29.8,70,0,0,1.1
28.6,79,0,0,0.9
27.3,82,0,0,2.1
27.6,78,0,0,1.5
26.9,80,0,0,2.2
26.9,80,0,0,1.7
25.7,84,0,0,1.4
25.5,83,0,0,1.2
25.1,83,0,0,1.7
25.3,81,0,0,1.5
25.7,80,0,0,1
25.4,81,0,0,0.5
25.3,83,0,76.5,1.3
28.8,69,0,323.6,0.4
29.2,67,0,557.4,0.6
29.7,66,0,419,1.6
29.9,68,0,912.3,2
30.6,65,0,1145.5,2.9
30.7,68,0,1025.5,3.5
31.1,63,0,909.9,3.6
31.1,67,0,855.3,4
30.5,71,0,319.4,2.1
30.2,71,0,283.7,2.6
29.8,70,0,38.4,1.8
29.5,73,0,0,3
28.1,82,0,0,1.3
28.4,79,0,0,1.1
28,79,0,0,0.9
28,79,0,0,1.7
27.8,78,0,0,2.5
27.5,84,0,0,3.4
27.1,81,0,0,2.7
26.3,85,0,0,0.7
26.6,84,0,0,1.6
27.2,82,0,0,0.2
26.5,85,0,0,1.1
26.4,83,0,68.7,1.4
28.1,77,0,159.8,3.2
29,75,0,492.1,1.7
29.9,71,0,730.1,1
30.4,69,0,911.4,2.5
30,73,0,1018.8,3.3
30.5,71,0,1007.7,2.6
30.3,72,0,203.5,4.2
28.8,82,0.6,315.4,2.2
30.6,69,0.6,236.3,1.8
28.5,87,1.2,172.6,1.4
25.1,85,1.4,0.2,4.2
24.4,91,2.8,0,1.7
25.4,86,2.8,0,0.6
25.2,91,2.8,0,1
25.8,89,2.8,0,0.7
25.6,90,2.8,0,1.3
25.7,90,2.8,0,1.1
25.6,92,2.8,0,0.7
26.1,87,2.8,0,1.6
25.8,87,2.8,0,1.7
25.6,89,2.8,0,1.3
25.9,87,2.8,0,2.2
26.3,86,2.8,0,0.9
25.6,90,2.8,39.1,1
26.6,84,0,131.9,1
28,80,0,275.1,1.1
28.6,77,0,559.1,1.9
29.5,73,0,782.1,0.9
29.2,75,0,591.8,1.8
30.8,66,0,601,0.7
29.2,74,0,524.8,4.9
29.9,70,0,400.1,1.5
28.8,76,0,179.2,2.9
27.8,84,0,77.1,4.1
28.5,80,0,41.7,1.6
28.8,77,0,0,2.1
28.2,79,0,0,2.1
27.4,83,0,0,1.7
27.1,83,0,0,0.5
27.2,82,0,0,2
27,83,0,0,1
26.5,86,0,0,1
26.2,88,0,0,0.8
25.8,89,0,0,0.7
25.6,86,0,0,0.9
25.5,86,0,0,1.7
25.5,85,0,0,2.5
25.4,88,0,39.6,0.7
26.9,83,0,177,0.7
27.8,78,0,375.2,2.2
28.1,81,0,435,2.7
28.4,74,0,901.7,3.9
29.2,72,0,839,2.9
29.5,72,0,461.7,3
29,77,0,312.5,1.7
24.3,97,10.6,115.4,0.6
24.8,95,11.4,36.9,2
25,94,12,33.7,0.7
24.6,93,13,9.4,2.2
24.6,92,13.6,0,1.2
24.7,92,13.8,0,1.5
25,92,13.8,0,1.8
24.9,90,13.8,0,1.9
24.7,91,13.8,0,1.2
25,90,13.8,0,1.1
25,89,13.8,0.9,1.9
25,88,13.8,0.8,1.1
24.8,88,13.8,0,0.5
24.7,88,13.8,1,1.7
24.6,89,13.8,0,1.5
24.4,88,13.8,0,1.2
24.6,87,13.8,33,2
26.3,83,0,127.2,0.9
28.1,76,0,615.5,1.6
28.5,76,0,637.1,1.7
30.9,63,0.2,936.7,1.9
30,67,0.2,1014.3,0.8
30.1,66,0.2,1023.3,1.3
30.6,65,0.2,929.4,3
29.6,73,0.2,373,3
29.3,72,0.2,45.6,3.8
29,77,0.2,112.9,5.1
29,78,0.2,39.4,4
28.9,73,0.2,0,2.2
28.2,79,0.2,0,0.9
28.1,80,0.2,0,1.1
27.1,86,0.2,0,1.8
26.8,83,0.2,0,1.1
27.1,80,0.2,0,1.2
26.8,80,0.2,0,0.8
26.3,81,0.2,0,0.6
25.7,84,0.2,0,1.5
25.7,85,0.2,0,1.2
25.4,85,0.2,0,0.7
25.6,83,0.2,0,1
26,80,0.2,23,1.6
26.9,77,0,116.1,0.9
28.2,75,0,361,1.3
28.3,77,0,764.9,2.5
28.5,75,0,466.6,3.8
28.9,77,0,531.4,4.2
29.5,74,0,911.3,5.1
29.5,74,0,86.2,3.9
25.5,98,11,88.3,2.8
24.9,97,18.2,55.1,1.3
25.2,98,30.6,46.3,0.9
25.9,94,30.6,38.7,0.4
26.3,90,30.6,2.7,1.4
26.5,89,30.6,1.4,1.8
26.1,89,30.6,0.7,1.1
25.9,89,30.6,0.3,0.6
25.5,92,30.6,0,1.3
25.7,90,30.6,0,0.8
26,87,30.6,0,1.6
25.6,89,30.6,0,1.8
25.1,90,30.6,0,1.7
24.6,92,30.6,0,1.7
24.5,89,30.6,0,2.3
24.9,86,30.6,0,1.4
24.7,88,30.6,55.7,0.6
26.6,83,0,248.3,0.3
27.8,81,0,407.1,1.4
29,71,0,682.3,0.5
29.5,72,0,838.5,1.6
28.5,79,0,555,5.4
28.6,77,0,701.5,6.7
29.1,75,0,936,6.5
28.9,82,0,466.9,4.9
29.7,66,0,416.9,3.2
28.1,75,0,177.5,3.4
28,78,0,69.3,3.2
27.8,81,0,0,3.1
27.6,83,0,0,3.8
26.7,87,0,0,1.4
26.3,84,0,0,1.2
26.5,82,0,0,1.5
26.2,81,0,0,0.8
26.1,83,0,0,1.7
27.4,80,0,0.3,2.2
26.1,84,0,0,1.4
25.8,87,0,0,0.5
24.8,88,0,0,1.2
24.9,86,0,0,1.8
25.5,86,0,54.3,1.4
